Player Name,Search Date,Position,Team (as of May 2017),Assault-related?,Details,Status,NFL response,Team response,Incident Date,Source Date,Link
Alex Smith,6/11/2017,QB,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sam Bradford,6/11/2017,QB,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
David Johnson,6/14/2017,RB,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Ezekiel Elliott,5/19/2017,RB,Dallas Cowboys,1,accused of assaulting ex-girlfriend five times,"Accused, not charged",6 game suspension completed,no response,July 2016,11/19/17,https://www.sbnation.com/2017/11/19/16666714/ezekiel-elliott-nfl-suspension-cowboys-ex
Le'Veon Bell,6/14/2017,RB,Pittsburgh Steelers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
LeSean McCoy,6/14/2017,RB,Buffalo Bills,0,accused of assault of two off-duty police officers,No records of assault on women found,??,??,2/8/2016,4/4/2016,http://www.sbnation.com/nfl/2016/4/4/10955346/lesean-mccoy-arrest-warrant-philadelphia-nfl-bills-assault
LeSean McCoy,6/14/2017,RB,Philadelphia Eagles,1,accused of assault and battery,"Accused, not charged",??,??,12/18/2012,5/14/2013,http://www.huffingtonpost.com/2013/05/14/lesean-mccoy-sued-assault_n_3274652.html
Devonta Freeman,6/14/2017,RB,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Melvin Gordon,6/14/2017,RB,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeMarco Murray,6/25/2017,RB,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jordan Howard,6/25/2017,RB,Chicago Bears,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jay Ajayi,6/25/2017,RB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Lamar Miller,6/25/2017,RB,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Todd Gurley,6/25/2017,RB,Los Angeles Rams,0,wrongfully accused of assaulting a man in a bar,No records of assault on women found,N/A,N/A,9/28/2014,9/29/2014,https://www.usatoday.com/story/sports/ncaaf/2014/09/29/georgia-star-rb-todd-gurley-wrongfully-accused-of-assault/16454335/
Isaiah Crowell,6/25/2017,RB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Leonard Fournette,6/25/2017,RB,Jacksonville Jaguars,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Carlos Hyde,6/25/2017,RB,San Francisco 49ers,0,wrongfully accused of assaulting a women in a nightclub,"Wrongfully accused, not charged",N/A,three game suspension,7/20/2013,7/30/2013,http://www.cbssports.com/college-football/news/ohio-state-rb-carlos-hyde-will-not-be-charged-for-alleged-assault/
Mark Ingram,6/25/2017,RB,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Eddie Lacy,6/25/2017,RB,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Spencer Ware,6/25/2017,RB,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Marshawn Lynch,6/25/2017,RB,Oakland Raiders,0,wrongfully accused of assaulting a woman,"Wrongfully accused, not charged",none,none,8/10/2014,10/10/2014,http://www.seattletimes.com/seattle-news/woman-who-accused-marshawn-lynch-of-assault-charged-with-making-false-statement/
Marshawn Lynch,1/3/2018,RB,Oakland Raiders,1,accused of sexual assault,"Accused, restraining order, no further charges",N/A,N/A,12/13/2006,1/29/2007,http://www.washingtonpost.com/wp-dyn/content/article/2007/01/29/AR2007012901342.html
C.J. Anderson,6/25/2017,RB,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tevin Coleman,6/25/2017,RB,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Frank Gore,6/25/2017,RB,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Christian McCaffrey,6/25/2017,RB,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Ameer Abdullah,6/25/2017,RB,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Forte,6/25/2017,RB,New York Jets,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dalvin Cook,6/25/2017,RB,Minnesota Vikings,1,"found not guilty, accused of punching a woman at least three times","Accused, not guilty",N/A,none,6/23/15,8/25/15,http://www.espn.com/college-football/story/_/id/13504706/florida-state-seminoles-rb-dalvin-cook-found-not-guilty-battery-case
Ty Montgomery,6/25/2017,WR,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Derrick Henry,6/25/2017,RB,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Doug Martin,6/25/2017,RB,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Joe Mixon,6/25/2017,RB,Cincinnati Bengals,1,assault - punched a woman in the face,"Plea deal, 100 hrs community service",not invited to NFL Scouting Combine,suspended for one year,7/25/14,2/27/17,https://www.washingtonpost.com/news/sports/wp/2017/02/27/joe-mixon-on-assault-thats-not-me-nfl-teams-will-have-to-decide/?utm_term=.7a0a45ec02c0
Paul Perkins,6/25/2017,RB,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Adrian Peterson,8/28/2017,RB,New Orleans Saints,1,lashing his 4-year-old son with a tree branch,Plea deal,6 game ban; suspension for remainder of 2014 season,N/A,May 2014,11/18/14,https://www.si.com/2014/11/18/adrian-peterson-suspension-appeal-roger-goodell
Jonathan Stewart,8/28/2017,RB,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Bilal Powell,12/28/2017,RB,New York Jets,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Rob Kelley,12/28/2017,RB,Washington Redskins,0,simple assault and battery,No records of assault on women found,none,??,7/30/2014,11/10/2016,http://www.espn.com/blog/nfceast/post/_/id/74577/undrafted-redskins-rb-rob-kelley-says-being-in-nfl-still-feels-unreal
Latavius Murray,12/28/2017,RB,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Giovani Bernard,12/28/2017,RB,Cincinnati Bengals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Gillislee,12/28/2017,RB,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kenneth Dixon,12/28/2017,RB,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Duke Johnson,12/28/2017,RB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Danny Woodhead,12/28/2017,RB,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Antonio Brown,1/2/2018,WR,Pittsburgh Steelers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Julio Jones,1/2/2018,WR,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Odell Beckham,1/2/2018,WR,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Evans,1/2/2018,WR,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
A.J. Green,1/2/2018,WR,Cincinnati Bengals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jordy Nelson,1/2/2018,WR,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dez Bryant,1/2/2018,WR,Dallas Cowboys,1,assaulting his mom,"Accused, arrested, charges dropped after good behavior",N/A,N/A,7/16/2012,7/18/2012,http://www.espn.com/dallas/nfl/story/_/id/8173444/dez-bryant-dallas-cowboys-allegedly-assaulted-mom-police-say
T.Y. Hilton,1/3/2018,WR,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Michael Thomas,1/3/2018,WR,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Amari Cooper,1/3/2018,WR,Oakland Raiders,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeAndre Hopkins,1/3/2018,WR,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brandin Cooks,1/3/2018,WR,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Doug Baldwin,1/3/2018,WR,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Demaryius Thomas,1/3/2018,WR,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Alshon Jeffery,1/3/2018,WR,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Allen Robinson,1/3/2018,WR,Jacksonville Jaguars,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Keenan Allen,1/3/2018,WR,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jarvis Landry,1/3/2018,WR,Miami Dolphins,1,did not intend to touch or strike ex-girlfriend but accidentally did so,"Accused, not charged",insufficient evidence,N/A,4/1/2017,10/24/2017,http://www.espn.com/nfl/story/_/id/21139712/nfl-punish-jarvis-landry-miami-dolphins-incident
Larry Fitzgerald,1/3/2018,WR,Arizona Cardinals,1,assaulting the mother of his son,"Accused, ordered to stay away",N/A,N/A,??,12/31/2008,http://www.tmz.com/2008/12/31/nfl-superstar-accused-of-baby-mama-beatdown/
Sammy Watkins,1/3/2018,WR,Buffalo Bills,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Michael Crabtree,1/3/2018,WR,Oakland Raiders,1,sexually assaulting a woman,"Accused, not charged",N/A,N/A,1/12/2013,1/25/2013,https://www.sbnation.com/nfl/2013/1/19/3893166/michael-crabtree-sexual-assault-49ers
Golden Tate,1/3/2018,WR,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Davante Adams,1/3/2018,WR,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeSean Jackson,1/3/2018,WR,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Julian Edelman,1/3/2018,WR,New England Patriots,1,sexually assaulting a woman,"Accused, charges dropped",N/A,N/A,11/1/2011,12/15/2011,http://boston.cbslocal.com/2011/12/15/sex-assault-charges-against-julian-edelman-dropped/
Kelvin Benjamin,1/3/2018,WR,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brandon Marshall,1/3/2018,WR,New York Giants,1,"assault on a law enforcement officer, refusal to obey, disorderly conduct and resisting an officer",Arrested,N/A,N/A,2004,8/8/2011,http://bleacherreport.com/articles/795744-the-top-troublemakers-in-the-nfl
Brandon Marshall,1/3/2018,WR,New York Giants,1,domestic violence of girlfriend,Arrested,suspension reduced to one game,N/A,3/26/2007,8/8/2011,http://bleacherreport.com/articles/795744-the-top-troublemakers-in-the-nfl
Brandon Marshall,1/3/2018,WR,New York Giants,1,disorderly conduct fight with his fiancee,"Arrested, charges dismissed",N/A,N/A,3/1/2009,8/8/2011,http://bleacherreport.com/articles/795744-the-top-troublemakers-in-the-nfl
Brandon Marshall,1/3/2018,WR,New York Giants,1,punched ex-girlfriend and took purse,Accused,N/A,N/A,3/18/2007,9/18/2014,https://www.si.com/nfl/2014/09/18/brandon-marshall-chicago-bears-domestic-violence-charges
Brandon Marshall,1/3/2018,WR,New York Giants,1,"punched, pushed, slapped, and threw object at ex-girlfriend","Accused, not charged",N/A,N/A,6/17/2006,9/18/2014,https://www.si.com/nfl/2014/09/18/brandon-marshall-chicago-bears-domestic-violence-charges
Brandon Marshall,1/3/2018,WR,New York Giants,1,punched and choked ex-girlfriend,Accused,N/A,N/A,6/2017,9/18/2014,https://www.si.com/nfl/2014/09/18/brandon-marshall-chicago-bears-domestic-violence-charges
Brandon Marshall,1/3/2018,WR,New York Giants,1,domestic violence of wife,"Accused, not charged",N/A,N/A,4/22/2011,9/18/2014,https://www.si.com/nfl/2014/09/18/brandon-marshall-chicago-bears-domestic-violence-charges
Emmanuel Sanders,1/3/2018,WR,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Terrelle Pryor,1/3/2018,WR,Washington Redskins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Stefon Diggs,1/3/2018,WR,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Eric Decker,1/3/2018,WR,New York Jets,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Willie Snead,1/3/2018,WR,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tyreek Hill,1/3/2018,WR,Kansas City Chiefs,1,domestic assault and battery by strangulation,Pleaded guilty,N/A,N/A,2014,1/20/2017,https://www.si.com/nfl/2017/01/10/tyreek-hill-kansas-city-chiefs-domestic-violence
Donte Moncrief,1/3/2018,WR,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Randall Cobb,1/3/2018,WR,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Martavis Bryant,1/7/2018,WR,Pittsburgh Steelers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jamison Crowder,1/7/2018,WR,Washington Redskins,1,accused via social media of domestic violence,"Accused, not charged",No suspension,N/A,6/2015,9/3/2015,http://www.espn.com/nfl/story/_/id/13570908/jamison-crowder-washington-redskins-suspended-domestic-violence-allegations
Corey Davis,1/7/2018,WR,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Pierre Garcon,1/7/2018,WR,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jeremy Maclin,1/7/2018,WR,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Rishard Matthews,1/7/2018,WR,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
John Brown,1/7/2018,WR,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Adam Thielen,1/7/2018,WR,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Corey Coleman,1/7/2018,WR,Cleveland Browns,0,"cleared of assaulting a man, no evidence found",No records of assault on women found,N/A,N/A,12/31/2016,8/8/2017,http://bleacherreport.com/articles/2726373-browns-corey-coleman-wont-be-charged-with-assault-due-to-lack-of-dna-evidence
Jordan Matthews,1/7/2018,WR,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Marvin Jones,1/7/2018,WR,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeVante Parker,1/7/2018,WR,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kenny Britt,1/7/2018,WR,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sterling Shepard,1/7/2018,WR,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Wallace,1/7/2018,WR,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Rob Gronkowski,1/13/2018,TE,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Travis Kelce,1/13/2018,TE,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Greg Olsen,1/13/2018,TE,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jordan Reed,1/13/2018,TE,Washington Redskins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jimmy Graham,1/13/2018,TE,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tyler Eifert,1/13/2018,TE,Cincinnati Bengals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Delanie Walker,1/13/2018,TE,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Zach Ertz,1/13/2018,TE,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Martellus Bennett,1/13/2018,TE,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Hunter Henry,1/13/2018,TE,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kyle Rudolph,1/13/2018,TE,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jason Witten,1/13/2018,TE,Dallas Cowboys,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Eric Ebron,1/13/2018,TE,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jack Doyle,1/13/2018,TE,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Coby Fleener,1/13/2018,TE,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
O.J. Howard,1/13/2018,TE,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jared Cook,1/13/2018,TE,Oakland Raiders,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Zach Miller,1/13/2018,TE,Chicago Bears,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Antonio Gates,1/13/2018,TE,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Julius Thomas,1/13/2018,TE,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
C.J. Fiedorowicz,1/13/2018,TE,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dennis Pitta,1/13/2018,TE,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dwayne Allen,1/13/2018,TE,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Austin Hooper,1/13/2018,TE,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Charles Clay,1/13/2018,RB,Buffalo Bills,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Stephen Gostkowski,1/14/2018,K,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Justin Tucker,1/14/2018,K,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Bryant,1/14/2018,K,Atlanta Falcons,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dan Bailey,1/14/2018,K,Dallas Cowboys,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mason Crosby,1/14/2018,K,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Adam Vinatieri,1/14/2018,K,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Cairo Santos,1/14/2018,K,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brandon McManus,1/14/2018,K,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Prater,1/14/2018,K,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Graham Gano,1/14/2018,K,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Chris Boswell,1/14/2018,K,Pittsburgh Steelers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sebastian Janikowski,1/14/2018,K,Oakland Raiders,1,Charged with misdemeanor battery and false imprisonment,"Accused, charged",N/A,N/A,9/24/2010,9/17/2011,http://www.espn.com/espn/wire/_/section/nfl/id/6981936
Wil Lutz,1/14/2018,K,New Orleans Saints,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Blair Walsh,1/14/2018,K,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Josh Lambo,1/14/2018,K,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dustin Hopkins,1/14/2018,K,Washington Redskins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Caleb Sturgis,1/14/2018,K,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Phil Dawson,1/14/2018,K,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Stephen Hauschka,1/14/2018,K,Buffalo Bills,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Nick Novak,1/14/2018,K,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dede Westbrook,1/20/2018,WR,Jacksonville Jaguars,1,"throwing ex-girlfriend to the ground, breaking and entering","Arrested, charges rejected",N/A,N/A,7/15/2012,12/11/2016,http://www.tulsaworld.com/sportsextra/ousportsextra/twice-arrested-on-domestic-violence-complaints-ou-s-dede-westbrook/article_85efbaf5-3041-536e-a6d7-d5b46dfc9081.html
Dede Westbrook,1/20/2018,WR,Jacksonville Jaguars,1,biting ex-girlfriend on the arm and punching her in the jaw,"Arrested, charges filed, case dismissed",N/A,N/A,4/25/2013,12/11/2016,http://www.tulsaworld.com/sportsextra/ousportsextra/twice-arrested-on-domestic-violence-complaints-ou-s-dede-westbrook/article_85efbaf5-3041-536e-a6d7-d5b46dfc9081.html
Nelson Agholor,1/21/2018,WR,Philadelphia Eagles,1,accused of sexually assaulting a dancer at a strip club,"Accused, not charged",N/A,N/A,6/2016,7/18/2016,http://www.espn.com/nfl/story/_/id/17099483/nelson-agholor-philadelphia-eagles-charged-sexual-assault-case
C.J. Beathard,1/23/2018,QB,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jacoby Brissett,1/23/2018,QB,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Cassel,1/23/2018,QB,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jay Cutler,1/23/2018,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
David Fales,1/23/2018,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Ryan Fitzpatrick,1/23/2018,QB,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jameis Winston,1/23/2018,QB,Tampa Bay Buccaneers,1,accused of sexual assault: groping Uber driver's crotch,Accused,N/A,N/A,3/13/16,11/17/17,https://www.buzzfeed.com/talalansari/jameis-winston?utm_term=.nwKWb9jrq#.umQ06OdNn
Nick Foles,1/23/2018,QB,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Blaine Gabbert,1/23/2018,QB,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jimmy Garoppolo,1/23/2018,QB,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Glennon,1/23/2018,QB,Chicago Bears,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jared Goff,1/23/2018,QB,Los Angeles Rams,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kevin Hogan,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brian Hoyer,1/23/2018,QB,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brett Hundley,1/23/2018,QB,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Case Keenum,1/23/2018,QB,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Cody Kessler,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeShone Kizer,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Paxton Lynch,1/23/2018,QB,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Patrick Mahomes,1/23/2018,QB,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sean Mannion,1/23/2018,QB,Los Angeles Rams,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
EJ Manuel,1/23/2018,QB,Oakland Raiders,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
